Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.932462,0.97096,0.080196,0.951322,7737,17141,3022319832,2596627385.000000,0.000000,940078,.,.,657755.000000,282323.000000,,2.32979601379,876587,.,.,602682.000000,273905.000000,,2.20033223198,63491,.,.,55073.000000,8418.000000,,6.54229033024,974328,.,.,611502.000000,334194.000000,,1.82978150416,870166,.,.,563543.000000,280934.000000,,2.00596225448,26025,.,.,16368.000000,7835.000000,,2.08908742821,78137,.,.,31591.000000,45425.000000,,0.695454045129
INDEL,*,*,PASS,*,QUAL,*,0.932462,0.97096,0.080196,0.951322,7737,17141,3022319832,2596627385.000000,0.000000,940078,.,.,657755.000000,282323.000000,,2.32979601379,876587,.,.,602682.000000,273905.000000,,2.20033223198,63491,.,.,55073.000000,8418.000000,,6.54229033024,974328,.,.,611502.000000,334194.000000,,1.82978150416,870166,.,.,563543.000000,280934.000000,,2.00596225448,26025,.,.,16368.000000,7835.000000,,2.08908742821,78137,.,.,31591.000000,45425.000000,,0.695454045129
INDEL,*,1,ALL,*,QUAL,*,0.97521,0.988097,0.030276,0.981611,275,658,15845744.000000,12093708.000000,0.000000,85115,.,.,56185.000000,28930.000000,,1.94210162461,83005,.,.,54254.000000,28751.000000,,1.88703001635,2110,.,.,1931.000000,179.000000,,10.7877094972,85679,.,.,53308.000000,30542.000000,,1.74539977736,82096,.,.,51324.000000,29058.000000,,1.76626058228,989,.,.,598.000000,312.000000,,1.91666666667,2594,.,.,1386.000000,1172.000000,,1.18259385666
INDEL,*,1,PASS,*,QUAL,*,0.97521,0.988097,0.030276,0.981611,275,658,15845744.000000,12093708.000000,0.000000,85115,.,.,56185.000000,28930.000000,,1.94210162461,83005,.,.,54254.000000,28751.000000,,1.88703001635,2110,.,.,1931.000000,179.000000,,10.7877094972,85679,.,.,53308.000000,30542.000000,,1.74539977736,82096,.,.,51324.000000,29058.000000,,1.76626058228,989,.,.,598.000000,312.000000,,1.91666666667,2594,.,.,1386.000000,1172.000000,,1.18259385666
INDEL,*,10-30,ALL,*,QUAL,*,0.589779,0.76091,0.355196,0.664503,419,2468,10945753.000000,2827476.000000,0.000000,15204,.,.,11987.000000,3217.000000,,3.72614236867,8967,.,.,6494.000000,2473.000000,,2.62596037202,6237,.,.,5493.000000,744.000000,,7.38306451613,19226,.,.,12493.000000,6429.000000,,1.94322600716,9433,.,.,6572.000000,2698.000000,,2.43587842847,2964,.,.,1998.000000,903.000000,,2.21262458472,6829,.,.,3923.000000,2828.000000,,1.38719943423
INDEL,*,10-30,PASS,*,QUAL,*,0.589779,0.76091,0.355196,0.664503,419,2468,10945753.000000,2827476.000000,0.000000,15204,.,.,11987.000000,3217.000000,,3.72614236867,8967,.,.,6494.000000,2473.000000,,2.62596037202,6237,.,.,5493.000000,744.000000,,7.38306451613,19226,.,.,12493.000000,6429.000000,,1.94322600716,9433,.,.,6572.000000,2698.000000,,2.43587842847,2964,.,.,1998.000000,903.000000,,2.21262458472,6829,.,.,3923.000000,2828.000000,,1.38719943423
INDEL,*,2,ALL,*,QUAL,*,0.928503,0.964232,0.046039,0.94603,230,773,7332870.000000,4458583.000000,0.000000,28183,.,.,22014.000000,6169.000000,,3.56848759929,26168,.,.,20132.000000,6036.000000,,3.3353214049,2015,.,.,1882.000000,133.000000,,14.1503759398,30040,.,.,21593.000000,7786.000000,,2.77331107115,27632,.,.,20126.000000,6926.000000,,2.90586196939,1025,.,.,656.000000,312.000000,,2.10256410256,1383,.,.,811.000000,548.000000,,1.4799270073
INDEL,*,2,PASS,*,QUAL,*,0.928503,0.964232,0.046039,0.94603,230,773,7332870.000000,4458583.000000,0.000000,28183,.,.,22014.000000,6169.000000,,3.56848759929,26168,.,.,20132.000000,6036.000000,,3.3353214049,2015,.,.,1882.000000,133.000000,,14.1503759398,30040,.,.,21593.000000,7786.000000,,2.77331107115,27632,.,.,20126.000000,6926.000000,,2.90586196939,1025,.,.,656.000000,312.000000,,2.10256410256,1383,.,.,811.000000,548.000000,,1.4799270073
INDEL,*,3-10,ALL,*,QUAL,*,0.812536,0.892456,0.104652,0.850623,639,3936,16954573.000000,7686145.000000,0.000000,43139,.,.,35399.000000,7740.000000,,4.57351421189,35052,.,.,27986.000000,7066.000000,,3.96065666572,8087,.,.,7413.000000,674.000000,,10.9985163205,48666,.,.,36399.000000,11246.000000,,3.23661746399,38887,.,.,30018.000000,8111.000000,,3.70090001233,4686,.,.,3295.000000,1210.000000,,2.72314049587,5093,.,.,3086.000000,1925.000000,,1.60311688312
INDEL,*,3-10,PASS,*,QUAL,*,0.812536,0.892456,0.104652,0.850623,639,3936,16954573.000000,7686145.000000,0.000000,43139,.,.,35399.000000,7740.000000,,4.57351421189,35052,.,.,27986.000000,7066.000000,,3.96065666572,8087,.,.,7413.000000,674.000000,,10.9985163205,48666,.,.,36399.000000,11246.000000,,3.23661746399,38887,.,.,30018.000000,8111.000000,,3.70090001233,4686,.,.,3295.000000,1210.000000,,2.72314049587,5093,.,.,3086.000000,1925.000000,,1.60311688312
