Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.932462,0.97096,0.080196,0.951322,7737,17141,3022319832,2596627385.000000,0.000000,940078,.,.,657755.000000,282323.000000,,2.32979601379,876587,.,.,602682.000000,273905.000000,,2.20033223198,63491,.,.,55073.000000,8418.000000,,6.54229033024,974328,.,.,611502.000000,334194.000000,,1.82978150416,870166,.,.,563543.000000,280934.000000,,2.00596225448,26025,.,.,16368.000000,7835.000000,,2.08908742821,78137,.,.,31591.000000,45425.000000,,0.695454045129
INDEL,*,*,PASS,*,QUAL,*,0.932462,0.97096,0.080196,0.951322,7737,17141,3022319832,2596627385.000000,0.000000,940078,.,.,657755.000000,282323.000000,,2.32979601379,876587,.,.,602682.000000,273905.000000,,2.20033223198,63491,.,.,55073.000000,8418.000000,,6.54229033024,974328,.,.,611502.000000,334194.000000,,1.82978150416,870166,.,.,563543.000000,280934.000000,,2.00596225448,26025,.,.,16368.000000,7835.000000,,2.08908742821,78137,.,.,31591.000000,45425.000000,,0.695454045129
INDEL,*,1-10,ALL,*,QUAL,*,0.831357,0.924666,0.106065,0.875533,1641,5757,10903018.000000,2952628.000000,0.000000,101641,.,.,81352.000000,20289.000000,,4.00966040712,84500,.,.,65388.000000,19112.000000,,3.42130598577,17141,.,.,15964.000000,1177.000000,,13.5632965166,112497,.,.,78545.000000,31720.000000,,2.47619798235,92989,.,.,67693.000000,23526.000000,,2.87736971861,7576,.,.,4755.000000,2513.000000,,1.89216076403,11932,.,.,6097.000000,5681.000000,,1.07322654462
INDEL,*,1-10,PASS,*,QUAL,*,0.831357,0.924666,0.106065,0.875533,1641,5757,10903018.000000,2952628.000000,0.000000,101641,.,.,81352.000000,20289.000000,,4.00966040712,84500,.,.,65388.000000,19112.000000,,3.42130598577,17141,.,.,15964.000000,1177.000000,,13.5632965166,112497,.,.,78545.000000,31720.000000,,2.47619798235,92989,.,.,67693.000000,23526.000000,,2.87736971861,7576,.,.,4755.000000,2513.000000,,1.89216076403,11932,.,.,6097.000000,5681.000000,,1.07322654462
INDEL,*,1e1-1e2,ALL,*,QUAL,*,0.908978,0.960408,0.097491,0.933985,3048,10068,85757754.000000,54780036.000000,0.000000,355814,.,.,256940.000000,98874.000000,,2.59866092198,323427,.,.,228364.000000,95063.000000,,2.40223851551,32387,.,.,28576.000000,3811.000000,,7.49829441092,373080,.,.,241995.000000,120455.000000,,2.00900751318,323377,.,.,215325.000000,98818.000000,,2.17900584914,13331,.,.,8636.000000,3859.000000,,2.23788546256,36372,.,.,18034.000000,17778.000000,,1.01439982
INDEL,*,1e1-1e2,PASS,*,QUAL,*,0.908978,0.960408,0.097491,0.933985,3048,10068,85757754.000000,54780036.000000,0.000000,355814,.,.,256940.000000,98874.000000,,2.59866092198,323427,.,.,228364.000000,95063.000000,,2.40223851551,32387,.,.,28576.000000,3811.000000,,7.49829441092,373080,.,.,241995.000000,120455.000000,,2.00900751318,323377,.,.,215325.000000,98818.000000,,2.17900584914,13331,.,.,8636.000000,3859.000000,,2.23788546256,36372,.,.,18034.000000,17778.000000,,1.01439982
INDEL,*,1e2-1e3,ALL,*,QUAL,*,0.944597,0.978646,0.06154,0.96132,5543,9190,1116496021.000000,1016093116.000000,0.000000,746858,.,.,519840.000000,227018.000000,,2.28986247787,705480,.,.,484143.000000,221337.000000,,2.18735683596,41378,.,.,35697.000000,5681.000000,,6.28357683506,754156,.,.,473441.000000,257713.000000,,1.83708621606,692632,.,.,446506.000000,225149.000000,,1.98315781993,15113,.,.,8884.000000,4930.000000,,1.80202839757,46411,.,.,18051.000000,27634.000000,,0.653217051458
INDEL,*,1e2-1e3,PASS,*,QUAL,*,0.944597,0.978646,0.06154,0.96132,5543,9190,1116496021.000000,1016093116.000000,0.000000,746858,.,.,519840.000000,227018.000000,,2.28986247787,705480,.,.,484143.000000,221337.000000,,2.18735683596,41378,.,.,35697.000000,5681.000000,,6.28357683506,754156,.,.,473441.000000,257713.000000,,1.83708621606,692632,.,.,446506.000000,225149.000000,,1.98315781993,15113,.,.,8884.000000,4930.000000,,1.80202839757,46411,.,.,18051.000000,27634.000000,,0.653217051458
INDEL,*,1e3-1e4,ALL,*,QUAL,*,0.935736,0.974892,0.070057,0.954913,2693,3620,1500185883.000000,1371017055.000000,0.000000,289307,.,.,197193.000000,92114.000000,,2.14074950605,270715,.,.,181309.000000,89406.000000,,2.02792877436,18592,.,.,15884.000000,2708.000000,,5.86558345643,291620,.,.,175389.000000,107626.000000,,1.62961552041,264381,.,.,166053.000000,90512.000000,,1.83459651759,6809,.,.,4314.000000,1939.000000,,2.22485817432,20430,.,.,5022.000000,15175.000000,,0.330939044481
INDEL,*,1e3-1e4,PASS,*,QUAL,*,0.935736,0.974892,0.070057,0.954913,2693,3620,1500185883.000000,1371017055.000000,0.000000,289307,.,.,197193.000000,92114.000000,,2.14074950605,270715,.,.,181309.000000,89406.000000,,2.02792877436,18592,.,.,15884.000000,2708.000000,,5.86558345643,291620,.,.,175389.000000,107626.000000,,1.62961552041,264381,.,.,166053.000000,90512.000000,,1.83459651759,6809,.,.,4314.000000,1939.000000,,2.22485817432,20430,.,.,5022.000000,15175.000000,,0.330939044481
